Couleur;Code;RGBA
Terre-V-D-N-3g;#D4D5D1;rgba(212, 213, 209, 1.0)
Terre-V-D-N-7g;#CED7D0;rgba(206, 215, 208, 1.0)
Terre-V-De-Bren-12g;#CDD1C8;rgba(205, 209, 200, 1.0)
Gris-Anthracite-17g;#C2C1C7;rgba(194, 193, 199, 1.0)
Ocre-Havance-7g;#D0A177;rgba(208, 161, 119, 1.0)
Orange-960-17g;#B65631;rgba(182, 86, 49, 1.0)
Rouge-130-7g;#D46051;rgba(212, 96, 81, 1.0)
Verte Turquoise 9g Bleu Kossoghol 4g;#6892A1;rgba(104, 146, 161, 1.0)
Bleu Lavande 12g Noir 318 1g;#6B7A97;rgba(107, 122, 151, 1.0)
Bleu Outremer 12g Noir 318 0,5g;#013CB2;rgba(1, 60, 178, 1.0)
Vert Colibri 15g Bleu kossoghol 6g;#3E8CB2;rgba(62, 140, 178, 1.0)
Jaune citron 12g Bleu kossoghol 4g;#8C9B98;rgba(140, 155, 152, 1.0)
VertPistache 9g Bleu kossoghol 4g;#7F9682;rgba(127, 150, 130, 1.0)
Jaune Citron 15g Gris Anthracite 6g;#A0A088;rgba(160, 160, 136, 1.0)
Vert turquoise 9g Bleu Kossoghol 4g;#6998AC;rgba(105, 152, 172, 1.0)
Brun-Bs-2g;#C67F6C;rgba(198, 127, 108, 1.0)
Brun-Bs-5g;#B8715F;rgba(184, 113, 95, 1.0)
Brun-Bs-10g;#A45C4F;rgba(164, 92, 79, 1.0)
Brun-Bs-17g;#974D3E;rgba(151, 77, 62, 1.0)
Jaune-420-2g;#FBD081;rgba(251, 208, 129, 1.0)
Jaune-420-5g;#F1AE36;rgba(241, 174, 54, 1.0)
Jaune-420-10g;#EBAC48;rgba(235, 172, 72, 1.0)
Jaune-420-17g;#E89D31;rgba(232, 157, 49, 1.0)
Rouge-Indien-7g;#D18373;rgba(209, 131, 115, 1.0)
Rouge-Vermillon-7g;#DF9092;rgba(223, 144, 146, 1.0)
Terre-Jaune-D-Italie-7g;#E1C498;rgba(225, 196, 152, 1.0)
Noir-Absolu-2g;#4F4C51;rgba(79, 76, 81, 1.0)
Noir-Absolu-5g;#666267;rgba(102, 98, 103, 1.0)
Noir-Absolu-10g;#47444A;rgba(71, 68, 74, 1.0)
Ocre-Chryso-Dico-5g;#EA8149;rgba(234, 129, 73, 1.0)
Ocre-Chryso-Dico-10g;#E37544;rgba(227, 117, 68, 1.0)
Ocre-Chryso-DIco-17g;#E47647;rgba(228, 118, 71, 1.0)
Ocre-Chrysodico-2g;#D6946E;rgba(214, 148, 110, 1.0)
Or-Sapb-2g;#C6A886;rgba(198, 168, 134, 1.0)
Or-Sapb-10g;#94745B;rgba(148, 116, 91, 1.0)
Or-Sapb-17g;#7D624C;rgba(125, 98, 76, 1.0)
Rouge-130-2g;#D8766A;rgba(216, 118, 106, 1.0)
Rouge-130-5g;#C65A4D;rgba(198, 90, 77, 1.0)
Rouge-130-10g;#AE4237;rgba(174, 66, 55, 1.0)
Rouge-130-17g;#9F3E35;rgba(159, 62, 53, 1.0)
Rouge-140-2g;#CB7B78;rgba(203, 123, 120, 1.0)
Rouge-140-5g;#BA5C58;rgba(186, 92, 88, 1.0)
Rouge-140-10g;#9E413D;rgba(158, 65, 61, 1.0)
Ton-Pierre-Bs-2g;#E2C5AA;rgba(226, 197, 170, 1.0)
